City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,saint george,37.1041,-113.5841,34.95,99,0,5.75,US,2023-02-06 10:49:39
1,jiazi,22.8779,116.067,64.58,90,85,7.11,CN,2023-02-06 10:51:37
2,lotofaga,-13.9764,-171.8578,78.58,74,90,9.53,WS,2023-02-06 10:51:37
3,agadir,30.4202,-9.5982,61.25,35,4,1.97,MA,2023-02-06 10:51:37
4,baruun-urt,46.6806,113.2792,0.3,88,95,2.59,MN,2023-02-06 10:51:38
5,qaanaaq,77.484,-69.3632,-15.5,92,100,4.0,GL,2023-02-06 10:51:38
6,morris,40.8334,-74.5329,37.11,76,10,3.29,US,2023-02-06 10:48:05
7,punta arenas,-53.15,-70.9167,53.71,66,100,21.85,CL,2023-02-06 10:49:09
8,bogatic,44.8375,19.4806,31.91,51,34,8.25,RS,2023-02-06 10:51:39
9,mataura,-46.1927,168.8643,53.89,80,79,2.82,NZ,2023-02-06 10:51:40
10,pihuamo,19.2499,-103.3828,64.02,54,42,4.72,MX,2023-02-06 10:51:40
11,hilo,19.7297,-155.09,72.63,93,100,8.05,US,2023-02-06 10:51:40
12,ribeira grande,38.5167,-28.7,61.2,72,75,27.0,PT,2023-02-06 10:51:41
13,bluff,-46.6,168.3333,58.42,77,75,12.77,NZ,2023-02-06 10:51:41
14,castro,-24.7911,-50.0119,65.79,68,54,0.63,BR,2023-02-06 10:51:42
15,kapaa,22.0752,-159.319,73.72,89,75,12.66,US,2023-02-06 10:51:42
16,lewistown,40.5992,-77.5714,45.34,75,75,0.0,US,2023-02-06 10:51:42
17,northam,51.0333,-4.2167,47.39,85,41,5.3,GB,2023-02-06 10:51:43
18,honningsvag,70.9821,25.9704,35.35,75,75,20.71,NO,2023-02-06 10:51:43
19,bambous virieux,-20.3428,57.7575,85.21,74,75,8.05,MU,2023-02-06 10:51:43
20,broome,42.2506,-75.833,37.2,80,100,11.5,US,2023-02-06 10:51:44
21,vaini,-21.2,-175.2,73.56,94,20,2.3,TO,2023-02-06 10:51:44
22,tuktoyaktuk,69.4541,-133.0374,-36.87,100,90,3.38,CA,2023-02-06 10:51:44
23,ushuaia,-54.8,-68.3,46.06,76,40,4.61,AR,2023-02-06 10:51:45
24,grindavik,63.8424,-22.4338,35.55,86,75,21.85,IS,2023-02-06 10:51:45
25,kota kinabalu,5.9749,116.0724,82.38,83,20,3.44,MY,2023-02-06 10:51:46
26,turukhansk,65.8167,87.9833,-7.96,100,100,2.62,RU,2023-02-06 10:51:46
27,korostyshiv,50.3172,29.0563,25.36,74,100,10.76,UA,2023-02-06 10:51:46
28,butaritari,3.0707,172.7902,80.62,81,62,17.4,KI,2023-02-06 10:51:47
29,arraial do cabo,-22.9661,-42.0278,76.86,88,0,4.61,BR,2023-02-06 10:51:47
30,tasiilaq,65.6145,-37.6368,21.36,95,98,2.01,GL,2023-02-06 10:51:47
31,saint-denis,48.9167,2.3333,43.09,83,75,13.8,FR,2023-02-06 10:51:48
32,benguela,-12.5763,13.4055,83.89,59,85,10.54,AO,2023-02-06 10:51:48
33,lompoc,34.6391,-120.4579,45.79,77,0,20.0,US,2023-02-06 10:51:48
34,waitati,-45.75,170.5667,61.81,83,100,7.29,NZ,2023-02-06 10:51:49
35,kaitangata,-46.2817,169.8464,54.72,85,87,5.91,NZ,2023-02-06 10:51:49
36,saint-philippe,-21.3585,55.7679,85.59,78,89,12.1,RE,2023-02-06 10:51:50
37,elat,29.5581,34.9482,66.04,34,40,14.97,IL,2023-02-06 10:51:50
38,avarua,-21.2078,-159.775,80.65,89,75,12.66,CK,2023-02-06 10:51:50
39,new norfolk,-42.7826,147.0587,62.1,55,9,7.0,AU,2023-02-06 10:51:51
40,lebu,-37.6167,-73.65,57.11,92,14,16.98,CL,2023-02-06 10:51:51
41,port alfred,-33.5906,26.891,79.18,84,46,1.99,ZA,2023-02-06 10:51:51
42,zheleznodorozhnyy,55.7503,38.0042,24.37,88,90,2.57,RU,2023-02-06 10:50:05
43,constitucion,-35.3333,-72.4167,60.67,76,0,2.98,CL,2023-02-06 10:51:52
44,chernyshevskiy,63.0128,112.4714,-40.94,100,85,0.6,RU,2023-02-06 10:51:53
45,ornes,66.8689,13.7078,38.1,93,100,19.8,NO,2023-02-06 10:51:53
46,albany,42.6001,-73.9662,35.58,75,90,4.07,US,2023-02-06 10:49:31
47,hambantota,6.1241,81.1185,88.14,70,40,14.97,LK,2023-02-06 10:51:54
48,hobart,-42.8794,147.3294,62.46,56,20,16.11,AU,2023-02-06 10:50:07
49,makakilo city,21.3469,-158.0858,75.56,72,0,17.27,US,2023-02-06 10:51:54
50,faya,18.3851,42.4509,69.91,35,54,10.98,SA,2023-02-06 10:51:54
